Yapı,Bilgi
Beylerbeyi Konağı,İstanbul’da Üsküdar’daki geleneksel Osmanlı konağıdır.
Beylerbeyi Konağı,19. yüzyıl Osmanlı sivil mimarisinin önemli örneğidir.
Beylerbeyi Konağı,Ahşap yığma tekniğiyle inşa edilmiştir.
Beylerbeyi Konağı,Haremlik-selamlık düzenine sahiptir.
Beylerbeyi Konağı,Boğaz kıyısında stratejik konumdadır.
Beylerbeyi Konağı,Geniş sofa ve odalardan oluşur.
Beylerbeyi Konağı,Osmanlı pencere dizilimini yansıtır.
Beylerbeyi Konağı,Osmanlı yaşam kültürünü sergiler.
Beylerbeyi Konağı,Restorasyonlarla korunmaktadır.
Beylerbeyi Konağı,Kültürel miras olarak ziyaretçilere açıktır.
Bosna Sokullu Mehmed Paşa Köprüsü,1577’de Mimar Sinan tarafından inşa edilmiştir.
Bosna Sokullu Mehmed Paşa Köprüsü,UNESCO Dünya Mirası listesindedir.
Bosna Sokullu Mehmed Paşa Köprüsü,Drina Nehri üzerinde yer alır.
Bosna Sokullu Mehmed Paşa Köprüsü,11 kemerli taş köprüdür.
Bosna Sokullu Mehmed Paşa Köprüsü,Kesme taş işçiliğiyle öne çıkar.
Bosna Sokullu Mehmed Paşa Köprüsü,"179,5 metre uzunluğa sahiptir."
Bosna Sokullu Mehmed Paşa Köprüsü,Balkan ulaşımında tarihsel rol oynamıştır.
Bosna Sokullu Mehmed Paşa Köprüsü,Osmanlı klasik mimarisinin zirvesidir.
Bosna Sokullu Mehmed Paşa Köprüsü,Sokullu Mehmed Paşa tarafından yaptırılmıştır.
Bosna Sokullu Mehmed Paşa Köprüsü,Ivo Andrić’in ünlü romanına konu olmuştur.
Demirciler Konağı,Kocaeli’de yer alan Osmanlı dönemi konağıdır.
Demirciler Konağı,18. yüzyıl sivil mimarisini temsil eder.
Demirciler Konağı,İki katlıdır ve geniş sofa düzenine sahiptir.
Demirciler Konağı,Bağdadi ve ahşap yığma teknikle yapılmıştır.
Demirciler Konağı,Selamlık-haremlik ayrımı bulunur.
Demirciler Konağı,Geleneksel Osmanlı pencereleri içerir.
Demirciler Konağı,Tarihi kent dokusunun bir parçasıdır.
Demirciler Konağı,Restorasyonla koruma altına alınmıştır.
Demirciler Konağı,Müze-ev olarak kullanılmaktadır.
Demirciler Konağı,Osmanlı yaşam düzenini yansıtır.
Dolmabahçe Sarayı,1856’da Sultan Abdülmecid tarafından kullanılmaya başlanmıştır.
Dolmabahçe Sarayı,Osmanlı’nın modernleşme döneminin simgesidir.
Dolmabahçe Sarayı,"Barok, rokoko ve neoklasik üslupları birleştirir."
Dolmabahçe Sarayı,285 oda ve 43 salon içerir.
Dolmabahçe Sarayı,Dünyanın en büyük kristal avizesine sahiptir.
Dolmabahçe Sarayı,Mimarları Balyan ailesidir.
Dolmabahçe Sarayı,Atatürk burada hayata veda etmiştir.
Dolmabahçe Sarayı,Muayede Salonu ile ünlüdür.
Dolmabahçe Sarayı,Boğaz kenarında monumental bir yapıdır.
Dolmabahçe Sarayı,Osmanlı devlet törenlerinde kullanılmıştır.
Gölcük Saraylı Evleri,Osmanlı sivil mimarisinin toplu örnekleridir.
Gölcük Saraylı Evleri,Ahşap karkas ve bağdadi yapım tekniği kullanılmıştır.
Gölcük Saraylı Evleri,İki katlı Türk evi planı taşır.
Gölcük Saraylı Evleri,Geniş sofa düzenine sahiptir.
Gölcük Saraylı Evleri,18-19. yüzyıl mimari karakteri gösterir.
Gölcük Saraylı Evleri,Deprem sonrası restore edilmiştir.
Gölcük Saraylı Evleri,Doğal dokuya uyumludur.
Gölcük Saraylı Evleri,Osmanlı yaşam organizasyonunu yansıtır.
Gölcük Saraylı Evleri,Kültürel miras açısından önemlidir.
Gölcük Saraylı Evleri,Gölcük’ün tarihsel kimliğini oluşturur.
Hızırbey Camii,Osmanlı erken dönem camilerindendir.
Hızırbey Camii,Edirne'nin fethinden sonra yapılmıştır.
Hızırbey Camii,Tek kubbeli klasik cami planına sahiptir.
Hızırbey Camii,Kesme taşla inşa edilmiştir.
Hızırbey Camii,Sade ve dengeli mimarisiyle bilinir.
Hızırbey Camii,Avlu ve şadırvan içerir.
Hızırbey Camii,Osmanlı vakıf sistemiyle desteklenmiştir.
Hızırbey Camii,Minaresiyle bölge siluetini tanımlar.
Hızırbey Camii,Balkan mimari etkilerini taşır.
Hızırbey Camii,Dönemsel restorasyonlardan geçmiştir.
İzmit Kapanca Sokak,Osmanlı sivil mimarisinin yoğun bulunduğu bölgedir.
İzmit Kapanca Sokak,19. yüzyıl Osmanlı evleriyle ünlüdür.
İzmit Kapanca Sokak,Cumbalı ve ahşap konutlar içerir.
İzmit Kapanca Sokak,Osmanlı mahalle dokusunu korur.
İzmit Kapanca Sokak,Dar sokak planına sahiptir.
İzmit Kapanca Sokak,Ticaret-hane ilişkisini gösterir.
İzmit Kapanca Sokak,Restorasyonlarla turizme açılmıştır.
İzmit Kapanca Sokak,Fotoğrafçılık için popülerdir.
İzmit Kapanca Sokak,Osmanlı sosyal yaşam izlerini taşır.
İzmit Kapanca Sokak,Kocaeli’nin en karakteristik alanlarındandır.
Kaiser Wilhelm Köşkü,19. yüzyıl sonunda Osmanlı-Alman ilişkileri için inşa edilmiştir.
Kaiser Wilhelm Köşkü,II. Abdülhamid dönemine aittir.
Kaiser Wilhelm Köşkü,Ahşap köşk mimarisine sahiptir.
Kaiser Wilhelm Köşkü,Prusya etkileri taşır.
Kaiser Wilhelm Köşkü,Orman içi bir devlet pavilonudur.
Kaiser Wilhelm Köşkü,Diplomatik temsil amaçlı kullanılmıştır.
Kaiser Wilhelm Köşkü,Zengin iç süslemeleri vardır.
Kaiser Wilhelm Köşkü,Yıldız Sarayı yakınındadır.
Kaiser Wilhelm Köşkü,Restorasyonla korunmuştur.
Kaiser Wilhelm Köşkü,Müze işlevi görmektedir.
Muradiye Külliyesi,Bursa’da yer alan erken dönem Osmanlı külliyesidir.
Muradiye Külliyesi,II. Murad tarafından yaptırılmıştır.
Muradiye Külliyesi,"Cami, türbe, medrese, hamam içerir."
Muradiye Külliyesi,Hanedan türbeleri burada bulunur.
Muradiye Külliyesi,Ünlü çinileriyle tanınır.
Muradiye Külliyesi,Klasik mimarinin öncülerindendir.
Muradiye Külliyesi,Avlu merkezli plan düzeni vardır.
Muradiye Külliyesi,UNESCO miras alanındadır.
Muradiye Külliyesi,Osmanlı’nın son hanedan külliyesidir.
Muradiye Külliyesi,Dini ve sosyal görevler üstlenmiştir.
Portakal Hafız Konağı,Osmanlı dönemi sivil mimari örneğidir.
Portakal Hafız Konağı,İki katlı geniş sofaya sahiptir.
Portakal Hafız Konağı,Ahşap malzemeyle inşa edilmiştir.
Portakal Hafız Konağı,Geleneksel Türk evi düzeni taşır.
Portakal Hafız Konağı,Yerel tarih için önemlidir.
Portakal Hafız Konağı,Restorasyonla korunmuştur.
Portakal Hafız Konağı,Pencere dizilimleri klasik dönemi yansıtır.
Portakal Hafız Konağı,İç süslemeler korunmuştur.
Portakal Hafız Konağı,Tarihi kültür rotalarına dahildir.
Portakal Hafız Konağı,Osmanlı aile yaşamını gösterir.
Rüstem Paşa Camii,Mimar Sinan’ın eseridir.
Rüstem Paşa Camii,1563’te tamamlanmıştır.
Rüstem Paşa Camii,İznik çinileriyle ünlüdür.
Rüstem Paşa Camii,Eminönü’nde yer alır.
Rüstem Paşa Camii,Tek kubbeli klasik plan taşır.
Rüstem Paşa Camii,Çinileri Osmanlı sanatının zirvesidir.
Rüstem Paşa Camii,Teras üzerinde kuruludur.
Rüstem Paşa Camii,Alt katında dükkânlar bulunur.
Rüstem Paşa Camii,Medreseyle bütünleşik bir yapıdır.
Rüstem Paşa Camii,Tarihi ticaret merkezindedir.
Rüstem Paşa Kervansarayı,Osmanlı ticaret yolları üzerinde inşa edilmiştir.
Rüstem Paşa Kervansarayı,Vakıf yapısıdır.
Rüstem Paşa Kervansarayı,Avlulu iki katlıdır.
Rüstem Paşa Kervansarayı,"Alt katta ahırlar, üstte odalar bulunur."
Rüstem Paşa Kervansarayı,Taş-tuğla örgüyle yapılmıştır.
Rüstem Paşa Kervansarayı,Mimar Sinan dönemine tarihlenir.
Rüstem Paşa Kervansarayı,Kervanlar için konaklama yeridir.
Rüstem Paşa Kervansarayı,Lojistik merkez işlevi görmüştür.
Rüstem Paşa Kervansarayı,Restorasyonla korunmuştur.
Rüstem Paşa Kervansarayı,Ekonomik tarih açısından önemlidir.
Saatçi Ali Efendi Konağı,Osmanlı sivil mimarisini temsil eder.
Saatçi Ali Efendi Konağı,Bahçeli konak tipindedir.
Saatçi Ali Efendi Konağı,"Taş zemin, ahşap üst kat düzenine sahiptir."
Saatçi Ali Efendi Konağı,Geleneksel Türk evi planıdır.
Saatçi Ali Efendi Konağı,İç süslemeleri korunmuştur.
Saatçi Ali Efendi Konağı,Tarihi konut mimarisinin önemli örneğidir.
Saatçi Ali Efendi Konağı,Restorasyon geçirmiştir.
Saatçi Ali Efendi Konağı,Kültürel miras listelerindedir.
Saatçi Ali Efendi Konağı,Osmanlı sosyal yaşamını yansıtır.
Saatçi Ali Efendi Konağı,Turistik amaçla kullanılmaktadır.
Selim Sırrı Paşa Konağı,Osmanlı son dönem mimarisinin örneğidir.
Selim Sırrı Paşa Konağı,Kocaeli’nde yer alır.
Selim Sırrı Paşa Konağı,19. yüzyılda inşa edilmiştir.
Selim Sırrı Paşa Konağı,İç duvar resimleriyle ünlüdür.
Selim Sırrı Paşa Konağı,Bahçeli konak yapısıdır.
Selim Sırrı Paşa Konağı,Osmanlı ve Avrupa etkileri taşır.
Selim Sırrı Paşa Konağı,Restorasyonla müze yapılmıştır.
Selim Sırrı Paşa Konağı,Süslemeleri zengindir.
Selim Sırrı Paşa Konağı,Sosyal yaşam kültürünü gösterir.
Selim Sırrı Paşa Konağı,Bölgenin simgesel konaklarındandır.
Zağnos Paşa Camii,Balıkesir’deki Osmanlı dönem camilerindendir.
Zağnos Paşa Camii,1461’de inşa edilmiştir.
Zağnos Paşa Camii,Zağnos Paşa tarafından yaptırılmıştır.
Zağnos Paşa Camii,Ters T planlıdır.
Zağnos Paşa Camii,Kesme taş işçiliği bulunur.
Zağnos Paşa Camii,Külliye parçasıdır.
Zağnos Paşa Camii,Merkezi kubbe düzenine sahiptir.
Zağnos Paşa Camii,Birçok onarım görmüştür.
Zağnos Paşa Camii,Erken Osmanlı mimari üslubunu taşır.
Zağnos Paşa Camii,Kent hafızasında önemli bir konuma sahiptir.
